Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,iSet,iDrift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38516.38944,4.3,-22.1,11.55,-34.3,7.77,147.9,,-2.96,241.3,0.08,179,,,,18.32,-6.3,,,,,,,,,,,,,,,,,,,,,39.398983,-0.298639,181.2,4.3
38516.38945,4.291,-22.5,11.89,-34.2,8.1,147.8,,-3.03,241.3,0.08,179,,,,18.35,-5.9,,,,,,,,,,,,,,,,,,,,,39.39896,-0.298639,182.2,4.3
38516.38947,4.348,-22.4,11.44,-34.6,7.56,147.2,,-2.66,241.3,0.08,179.2,,,,18.35,-5.9,,,,,,,,,,,,,,,,,,,,,39.398941,-0.298639,181.9,4.4
38516.38948,4.368,-22.4,11.75,-34.7,7.88,147.1,,-2.45,241.3,0.08,178.6,,,,18.44,-5.5,,,,,,,,,,,,,,,,,,,,,39.398918,-0.298642,182.3,4.5
38516.38949,4.416,-22.5,11.78,-34.6,7.73,146.3,,-2.62,240.8,0.099,178.3,,,,18.35,-4.7,,,,,,,,,,,,,,,,,,,,,39.398899,-0.298642,182.1,4.5
38516.3895,4.53,-22.3,11.42,-35.5,7.43,145.5,,-2.26,240.8,0.099,178.3,,,,18.32,-5.6,,,,,,,,,,,,,,,,,,,,,39.398876,-0.298642,181,4.5
38516.38951,4.547,-22.3,11.5,-35.6,7.57,144.9,,-2.49,238.3,0.11,177.3,,,,18.35,-6.9,,,,,,,,,,,,,,,,,,,,,39.398853,-0.298642,182.2,4.5
38516.38952,4.591,-22.2,11.76,-35.3,7.72,144.4,,-2.43,238.3,0.11,176.2,,,,18.35,-4.7,,,,,,,,,,,,,,,,,,,,,39.398834,-0.298639,182.4,4.5
38516.38954,4.776,-21.9,11.78,-35.3,7.39,143.6,,-2.04,258,0.087,176.1,,,,18.17,-4.1,,,,,,,,,,,,,,,,,,,,,39.398815,-0.298639,180.3,4.6
38516.38955,4.734,-21.4,11.62,-35.3,7.47,144,,-2.35,258,0.087,175.8,,,,18.26,-5.7,,,,,,,,,,,,,,,,,,,,,39.398792,-0.298639,179.5,4.7
