Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38249.73306,,,,,,230,,2,,,,,18,1032,,,,-6,,,,,,,,,,,,,,,,,,,,,,
38249.73307,8.77,-49,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,37.8302,-122.3867,,
38249.73309,8.81,-49,17,-84,12.3,229,,2,124,0.37,310,,,,8.53,18.7,,,,,,,,,,,,12.42,,,,,,,,,37.830233,-122.38675,313.8,8.3
38249.7331,8.79,,,,,,,,,,,,,966,,,,-6,,,,,,,,,,,,,,,,,,,37.830267,-122.386767,,
38249.73311,8.73,-50,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,37.830317,-122.386817,,
38249.73312,8.73,-50,16,-83,12.3,229,,2,119,0.38,308,,18,919,8.41,18.1,,-6,,,,,,,,,,12.42,,,,,,,,,,,311.8,8.2
38249.73313,8.72,-50,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,37.830383,-122.386867,,
38249.73314,8.69,,15.2,,,,,,121,0.38,310,,,,8.44,17.7,,,,,,,,,,,,12.41,,,,,,,,,37.830383,-122.386867,310.8,8.2
38249.73315,8.67,-52,,-83,12.3,229,,2,,,312,,18,,,,,-6,,,,,,,,,,,,,,,,,,,37.83045,-122.386917,,
38249.73317,8.61,,15,,,,,,121,0.37,312,,,,8.5,17.6,,,,,,,,,,,,12.41,,,,,,,,,37.83045,-122.386917,310.8,8.2
38249.73318,8.51,-52,,-86,12,227,,2,,,,,18,,,,,-6,,,,,,,,,,,,,,,,,,,37.830517,-122.386967,,
38249.73319,8.54,-52,,,,,,,124,0.36,313,,,,,18.1,,,,,,,,,,,,,,,,,,,,,37.830517,-122.386967,311.8,8.2
38249.7332,,-51,16.1,-86,11.9,228,,2.1,,,,,18,,8.41,,,-6,,,,,,,,,,12.41,,,,,,,,,,,,
38249.73321,8.53,-49,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,37.830583,-122.387017,,
38249.73322,8.73,-48,18.2,,12.4,,,,119,0.38,307,,,,8.29,19,,,,,,,,,,,,12.41,,,,,,,,,37.830633,-122.387067,312.8,8.2
38249.73324,8.71,,,,,229,,2.1,,,,,18,952,,,,-6,,,,,,,,,,,,,,,,,,,37.83065,-122.387083,,
38249.73325,8.64,-48,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,37.8307,-122.387133,,
38249.73326,8.62,-48,17.8,-78.1,12.9,229,,2.1,112,0.39,302,37.61,18,1035,8.23,19.1,,-7,,,,,,,,,,12.41,,,,,,,,,,,309.8,8.2
38249.73327,8.6,-49,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,37.83075,-122.3872,,
38249.73328,8.6,-48,16.1,-81.1,12.5,,,,107,0.38,302,,,,8.32,18.4,,,,,,,,,,,,12.41,,,,,,,,,37.83075,-122.3872,307.8,8.2
38249.73329,8.56,-48,,,,226,,2.1,,,303,,18,987,,,,-6,,,,,,,,,,,,,,,,,,,37.830817,-122.387267,,
38249.73331,8.54,,16.2,,,,,,106,0.38,303,,,,8.32,18.2,,,,,,,,,,,,12.42,,,,,,,,,37.830817,-122.387267,305.8,8.2
38249.73332,8.55,-49,,-81.1,12.5,226,,2.1,,,,,18,935,,,,-6,,,,,,,,,,,,,,,,,,,37.830867,-122.387333,,
38249.73333,8.53,-49,,,,,,,108,0.37,303,,,,,18.2,,,,,,,,,,,,,,,,,,,,,37.830867,-122.387333,305.8,8.1
38249.73334,,-49,15.6,-80.1,12.6,226,,2.1,,,,11.17,18,1035,8.35,,,-6,,,,,,,,,,12.42,,,,,,,,,,,,
38249.73335,8.49,,,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,,,37.830933,-122.387383,,
