Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38053.04454,,,,,6.62,312.1,,,174.1,0.34,129,,,,14.13,,,,,,,,,,,,,,,,,16,,,,,-36.739508,174.936173,,
38053.04455,,-175,3.49,-177,6.29,,,,,,,,,,14.19,,,,,,,,,,,,,,,,,,,,,,-36.739534,174.936184,,
38053.04457,2.66,-177,3.49,-178,6.33,313.2,,,177.8,0.37,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2,2.36
38053.04459,,,,,5.85,313.2,,,180.7,0.36,132,,,,,,,,,,,,,,,,,,,,,16,,,,,-36.739558,174.936206,,
38053.0446,,-179,3.11,-179,5.77,,,,,,,,,,14.25,,,,,,,,,,,,,,,,,,,,,,-36.739584,174.936217,,
38053.04462,2.7,-180,3.11,,5.81,313.4,,,178.5,0.45,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,2.48
38053.04464,,,,,,,,,,,133,,,,14.27,,,,,,,,,,,,,,,,,16,,,,,-36.739606,174.93622,,
38053.04465,,180,3.49,-180,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.6,2.48
38053.04467,2.68,,,,6.25,309.1,,,181.9,0.48,133,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38053.04468,,,,,,,,,,,,,,,14.38,,,,,,,,,,,,,,,,,16,,,,,-36.739636,174.936252,,
38053.0447,2.69,164,4.08,170,6.74,,,,181.6,0.34,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.3,2.42
38053.04471,,,,,6.16,307.6,,,167.6,0.26,137,,,,14.32,,,,,,,,,,,,,,,,,1,,,,,-36.739658,174.936272,,
38053.04473,,163,3.49,170,6.18,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,-36.739684,174.936284,,
38053.04475,2.66,163,3.11,171,5.65,310.9,,,175.5,0.32,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.5,2.45
38053.04476,,,,,6.22,312.3,,,,,142,,,,14.35,,,,,,,,,,,,,,,,,1,,,,,-36.739707,174.936288,,
38053.04478,,163,3.49,171,6.1,,,,,,,,,,14.29,,,,,,,,,,,,,,,,,,,,,,,,160.5,2.51
38053.0448,2.65,163,3.49,,6.14,312.3,,,195.7,0.6,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,2.54
38053.04481,,,,,,,,,,,142,,,,14.36,,,,,,,,,,,,,,,,,1,,,,,-36.739757,174.936302,,
38053.04483,,163,2.91,171,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,2.62
38053.04484,2.6,,,,5.5,311.1,,,194.2,0.71,140,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
38053.04486,,,,,,,,,,,138,,,,14.46,,,,,,,,,,,,,,,,,1,,,,,-36.739804,174.936318,,
38053.04488,2.6,165,2.91,173,4.87,,,,191.8,0.63,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,2.6
38053.04489,,,,,5.05,309.7,,,187.6,0.54,137,,,,14.45,,,,,,,,,,,,,,,,,16,,,,,-36.739843,174.936337,,
38053.04491,,166,2.91,173,5.38,,,,,,,,,,14.53,,,,,,,,,,,,,,,,,,,,,,,,,
38053.04492,2.52,,,,5.71,308.6,,,188,0.4,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.9,2.47
38053.04494,,,,,,,,,,,136,,,,14.57,,,,,,,,,,,,,,,,,16,,,,,-36.739873,174.93637,,
